Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
720000,1.9323732,-0.0069873626,2.2831938,0.031589385,0.076066926,0.0002788205,0.19294015,0.009294721,0.18119249,0.5963863,9999.0,-0.8886725476265631,-0.8886725476265631,290.67020375078374,1.0
750000,1.5449885,-0.0025297725,2.9379902,1.7942142,0.069803886,0.00027793922,0.1926464,0.009265374,0.39137566,0.62579894,None,-0.9176998056937009,-0.9176998056937009,237.5497286915779,1.0
780000,1.7576464,-0.0077098934,3.180242,0.008483173,0.069064505,0.0002770637,0.19235456,0.009236219,0.23717324,0.20785901,None,None,None,None,1.0
810000,1.7922821,-0.006127047,2.5335083,0.015247354,0.068965025,0.0002761421,0.19204736,0.00920553,0.17233261,0.13094293,None,None,None,None,1.0
840000,1.6771883,-0.005870426,3.0071988,0.010401195,0.07032683,0.0002752205,0.19174016,0.009174841,0.14328697,0.17892113,9999.0,-0.8797179961534725,-0.8797179961534725,342.52783506295896,1.0
870000,1.7997775,-0.024239391,2.7604928,1.5939908,0.06665109,0.00027433923,0.19144641,0.009145495,0.21966825,0.35468403,None,-0.8781998180784285,-0.8781998180784285,275.112531632185,1.0
900000,1.8147997,-0.0051088603,1.9149008,0.008957097,0.073782146,0.0002734637,0.19115455,0.0091163395,0.12202086,0.83120745,None,None,None,None,1.0
930000,1.6106993,-0.009729634,4.692559,0.1989378,0.06932436,0.0002725421,0.19084737,0.009085651,0.27784845,0.8944095,None,None,None,None,1.0
960000,1.6219726,-0.0012334302,5.147388,0.13036963,0.069810614,0.00027162052,0.19054016,0.009054962,0.15711068,0.49893013,9999.0,-0.8439725556262684,-0.8439725556262684,290.2237942625176,1.0
990000,1.5454718,0.003110841,4.2394204,0.37372065,0.06959716,0.00027073923,0.1902464,0.009025615,0.1719084,2.5011187,None,-0.8476998298428953,-0.8476998298428953,225.02359022200108,1.0
