Steps,Policy/Entropy,Environment/Lesson/PathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
50340000,0.74544376,15.0,259.3738317757009,0.14009431,0.23182541,0.5557860672473908,0.5557860672473908,0.6568255287002893,0.0026020084,0.38608524,0.00014902475,0.14967489,0.004972522,0.00988847,0.0045397887,1.0
50370000,0.5998074,15.0,243.1081081081081,0.22351772,0.20231761,0.6556212593477668,0.6556212593477668,0.5081904795787013,0.002921186,0.41583055,0.00014893633,0.14964542,0.004969578,0.009186578,0.002897601,1.0
50400000,0.77183795,15.0,246.3409090909091,0.118173964,0.2333676,0.6657065034884474,0.6657065034884474,0.5678813053629078,0.0031076982,0.38756448,0.00014884681,0.14961559,0.0049665966,0.014658266,0.016777225,1.0
50430000,0.9079246,15.0,449.4366197183099,0.12700328,0.29987785,0.2951549089080851,0.2951549089080851,1.3558520328509294,0.002782573,0.37761387,0.0001487574,0.14958578,0.0049636196,0.013073722,0.01815219,1.0
50460000,0.84022677,15.0,353.3956043956044,0.1385989,0.2747106,0.41789770693602885,0.41789770693602885,1.0522403209404068,0.0023423901,0.41090697,0.00014866427,0.14955474,0.0049605183,0.012308262,0.016490823,1.0
50490000,0.81828344,15.0,308.4848484848485,0.118111454,0.28142637,0.5276339821517467,0.5276339821517467,0.8074607806280255,0.0026903702,0.42603907,0.00014857425,0.14952472,0.0049575204,0.012646585,0.0127234375,1.0
50520000,0.85955167,15.0,316.59550561797755,0.09589578,0.28762037,0.5109688705040349,0.5109688705040349,0.9093939035852802,0.0025785796,0.39490938,0.00014848413,0.1494947,0.0049545197,0.011861364,0.0074723265,1.0
50550000,0.8772791,15.0,331.4025974025974,0.04609952,0.24716853,0.5099025452748324,0.5099025452748324,0.7822293582229087,0.0024413303,0.40475968,0.000148394,0.14946464,0.004951517,0.0110673895,0.0069168177,1.0
50580000,0.8738929,15.0,391.8024691358025,0.06447256,0.26709726,0.35499256794099454,0.35499256794099454,1.0312340155496826,0.0026960692,0.3896896,0.00014830542,0.14943512,0.0049485685,0.0129791545,0.01408789,1.0
50610000,0.885493,15.0,376.5581395348837,0.09649949,0.26094964,0.38269174055141564,0.38269174055141564,1.027580091028529,0.002087526,0.36824986,0.00014821679,0.14940558,0.0049456167,0.012338599,0.010524584,1.0
