Steps,Policy/Entropy,Environment/Lesson/PathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
690000,0.81115395,0.0,233.85454545454544,0.3435259,0.229986,0.6660872623324394,0.6660872623324394,0.3023505742195994,0.0012230639,0.06680609,9.966293e-05,0.19966295,0.009966328,0.004977136,0.0117990095,1.0
720000,0.77134347,0.0,315.85185185185185,0.2989451,0.24123202,0.49885738930768436,0.49885738930768436,0.4113587815114038,0.0011634373,0.07076698,9.9647565e-05,0.19964759,0.009964792,0.005140853,0.0127958,1.0
750000,0.65143347,0.0,210.343949044586,0.41015902,0.25352892,0.7068050818838132,0.7068050818838132,0.2380158447059521,0.0012024946,0.06825939,9.96323e-05,0.1996323,0.009963266,0.0046787607,0.008595417,1.0
780000,0.703727,0.0,193.79591836734693,0.4348834,0.24006253,0.7313333232792056,0.7313333232792056,0.20021779036314105,0.0013498365,0.070321634,9.961751e-05,0.19961752,0.0099617895,0.0044567212,0.0075147087,1.0
810000,0.83702934,0.0,222.13513513513513,0.34675613,0.21500593,0.6787098986474244,0.6787098986474244,0.2438298096284606,0.001239356,0.06938044,9.960276e-05,0.19960275,0.009960315,0.005240667,0.014730304,1.0
840000,0.8275508,0.0,270.7890625,0.32903352,0.20586823,0.5728702992200851,0.5728702992200851,0.3430464884695539,0.0013046925,0.07184658,9.958791e-05,0.19958793,0.009958832,0.0049415315,0.0130939735,1.0
870000,0.9498362,0.0,264.7628865979381,0.24689025,0.17088714,0.5613543295665927,0.5613543295665927,0.3170879389432704,0.0013058888,0.069194846,9.957251e-05,0.19957252,0.009957294,0.0047154357,0.01342698,1.0
900000,0.77120316,0.0,272.6825396825397,0.3458253,0.17700955,0.5976870098641811,0.5976870098641811,0.29131686461392703,0.0012240057,0.06787304,9.955711e-05,0.1995571,0.009955755,0.0047624195,0.012417083,1.0
930000,0.8347032,0.0,221.76146788990826,0.32576284,0.18805669,0.6589027434040647,0.6589027434040647,0.24742414163203413,0.0011054451,0.06945521,9.9542274e-05,0.19954228,0.009954273,0.004830431,0.0058893864,1.0
960000,0.8607897,0.0,325.5729166666667,0.2887375,0.20279066,0.5180874820798635,0.5180874820798635,0.3913369017803537,0.0011647502,0.0677421,9.95275e-05,0.1995275,0.009952798,0.005240509,0.016811114,1.0
990000,0.9534163,0.0,294.7283950617284,0.20266277,0.19964409,0.5199802300812285,0.5199802300812285,0.32899869820907895,0.00090423453,0.07384907,9.951281e-05,0.19951282,0.009951331,0.005399356,0.01966925,1.0
1020000,0.9208209,0.0,339.8378378378378,0.24586695,0.20630118,0.43481619911150887,0.43481619911150887,0.47336602725323523,0.0014394987,0.072745815,9.949798e-05,0.19949797,0.009949849,0.005650648,0.018461462,1.0
1050000,0.9893994,0.0,281.2631578947368,0.20050626,0.20036681,0.5344368278195983,0.5344368278195983,0.42653285719356254,0.0010985826,0.07051692,9.9483026e-05,0.19948304,0.009948355,0.0058217742,0.016903993,1.0
1080000,0.8573564,0.0,328.52713178294573,0.30409095,0.22201405,0.4387937795746234,0.4387937795746234,0.4514815997974875,0.0012908534,0.070132494,9.9468e-05,0.19946802,0.009946855,0.005693099,0.014667486,1.0
1110000,0.8185612,0.0,222.0,0.36213428,0.25152534,0.6936299862960974,0.6936299862960974,0.2800833113860184,0.0017974342,0.07182532,9.9452554e-05,0.19945256,0.0099453125,0.0056429463,0.019052466,1.0
