Steps,Policy/Entropy,Environment/Lesson/AdvancedPathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
990000,0.92919487,1.0,260.98214285714283,0.24994723,0.3274981,0.8105765713362006,0.8105765713362006,0.8257094811698472,0.0023767326,0.43323293,0.00027072692,0.1902423,0.009025203,0.014110808,0.018756038,1.0
1020000,0.82475936,1.0,231.48062015503876,0.3246291,0.32124573,0.8700297650603848,0.8700297650603848,0.6339836626487806,0.0025648815,0.41915342,0.0002698294,0.18994312,0.008995319,0.012616715,0.011316882,1.0
1050000,0.71232945,2.0,191.6689189189189,0.39944735,0.30111453,0.8768974277549065,0.8768974277549065,0.5000672010430254,0.002413904,0.45865282,0.0002689638,0.1896546,0.008966495,0.013718021,0.029875472,1.0
1080000,0.85649085,2.0,152.22764227642276,0.2999883,0.2754929,0.9226463340162262,0.9226463340162262,0.32712165492575435,0.0021674794,0.45854816,0.0002680877,0.18936256,0.00893732,0.011361634,0.009267911,1.0
1110000,1.0516111,2.0,470.0779220779221,0.12945321,0.32036144,0.6483588942313847,0.6483588942313847,1.354095904615848,0.0014606313,0.42396247,0.00026716437,0.18905476,0.008906572,0.015510524,0.021591414,1.0
1140000,0.8066751,2.0,229.0,0.24186139,0.3240429,0.8297218416794008,0.8297218416794008,0.7684115581997052,0.0023180756,0.43365565,0.0002662592,0.18875305,0.008876431,0.014478749,0.013196032,1.0
1170000,1.0106324,2.0,443.9428571428571,0.14323607,0.32135302,0.6495676323333207,0.6495676323333207,1.3929423619787593,0.0020536534,0.39471716,0.00026531672,0.18843889,0.008845045,0.015972916,0.022079645,1.0
1200000,0.94636416,2.0,334.2098765432099,0.16215052,0.39718908,0.779118591356416,0.779118591356416,1.1725154721156457,0.002265211,0.44791955,0.00026444285,0.18814762,0.008815945,0.017805232,0.03818836,1.0
1230000,0.8218255,2.0,350.74311926605503,0.21853799,0.3947144,0.7475711434649733,0.7475711434649733,1.2670698507662075,0.0021083294,0.42221746,0.00026352552,0.18784186,0.008785399,0.0156133175,0.028592825,1.0
1260000,0.9396095,2.0,220.36046511627907,0.21192667,0.3872926,0.8417898834253965,0.8417898834253965,0.8623410403169953,0.0026659109,0.42236376,0.00026264956,0.18754984,0.008756229,0.01750828,0.022342931,1.0
