Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
1860000,1.0917894,7.0,0.11876997,0.80376065,617.8909090909091,0.00560603,0.39224428,0.0002446685,0.18155617,0.008157461,0.045421336,0.08633537,0.5019714124500751,0.5019714124500751,4.902487310048725,1.0
1890000,1.1193372,7.0,0.1453157,0.80311924,681.6888888888889,0.008492863,0.36639598,0.00024375707,0.18125233,0.008127109,0.039730016,0.11988118,0.4452511443821497,0.4452511443821497,5.205145763103352,1.0
1920000,1.12953,7.0,0.118396014,0.76685137,733.5365853658536,0.0030416702,0.36334097,0.00024283119,0.18094373,0.008096277,0.0319155,0.074898705,0.4030952232756785,0.4030952232756785,5.064261989224525,1.0
1950000,1.0804226,7.0,0.015109818,0.7774214,1172.0416666666667,0.0051298887,0.40923706,0.00024193095,0.18064362,0.008066298,0.04151795,0.073748104,0.019883311353623867,0.019883311353623867,8.759276024997234,1.0
1980000,1.082225,7.0,0.02370646,0.8450234,1099.7916666666667,0.0042296345,0.41901958,0.00024105552,0.18035181,0.008037149,0.034164514,0.06783643,-0.08170002543677886,-0.08170002543677886,9.35140125763913,1.0
2010000,1.1158321,7.0,0.07078183,0.6985839,850.0243902439024,0.0029327767,0.3805402,0.00024014714,0.18004905,0.008006899,0.02969303,0.062486436,0.3260512013987797,0.3260512013987797,5.592397883693438,1.0
2040000,1.1351897,7.0,0.06789729,0.69547904,862.40625,0.0029451016,0.3663356,0.00023925304,0.179751,0.007977125,0.03649344,0.06665174,0.22962497710250318,0.22962497710250318,5.493669926421717,1.0
2070000,1.1318564,7.0,0.10829059,0.8313186,707.9767441860465,0.044519205,0.3930418,0.00023835406,0.17945133,0.007947188,0.043161713,0.07295459,0.42614357163890815,0.42614357163890815,7.598713718354702,1.0
2100000,1.1032315,7.0,0.15349093,0.8314492,752.0285714285715,0.0037307937,0.3747507,0.00023747567,0.17915852,0.007917938,0.036043216,0.097135924,0.47026997823268174,0.47026997823268174,5.278202710254118,1.0
2130000,1.0805912,7.0,0.09407444,0.75772136,858.2093023255813,0.0027632513,0.36990988,0.00023656612,0.17885539,0.00788765,0.03619309,0.066057995,0.20665895470823997,0.20665895470823997,5.79850544837805,1.0
2160000,1.0649345,7.0,0.17535573,0.7975234,669.0975609756098,0.0053396057,0.3985672,0.00023564666,0.17854889,0.007857032,0.035950735,0.08005382,0.45485579828883327,0.45485579828883327,5.286030859794727,1.0
2190000,1.0797026,7.0,0.11877012,0.8085476,907.9310344827586,0.0032284374,0.38648105,0.00023475406,0.17825134,0.007827309,0.038950823,0.08954666,0.29164514041716055,0.29164514041716055,6.603866288618695,1.0
