Steps,Policy/Entropy,Environment/Lesson/PathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
990000,0.5759854,3.0,46.17495711835335,0.7540358,0.7453876,0.9504608192650723,0.9504608192650723,0.188178652212587,0.0037041523,0.07272389,0.00029025236,0.19675079,0.009675403,0.019716015,0.02883467,1.0
1020000,0.5617148,3.0,55.27609427609428,0.7641037,0.7496162,0.9353332156425382,0.9353332156425382,0.23004730870950382,0.0039814087,0.07098496,0.00028994944,0.1966498,0.009665316,0.019101312,0.036773127,1.0
1050000,0.58594435,3.0,43.5873786407767,0.7825009,0.8144954,0.9539844862430662,0.9539844862430662,0.18105571570630172,0.0036649818,0.073778294,0.00028964505,0.19654836,0.009655179,0.019061865,0.03897959,1.0
1080000,0.5505298,4.0,40.563973063973066,0.76940954,0.86193395,0.9595757516144904,0.9595757516144904,0.1389029612619687,0.0046927244,0.06991626,0.00028935092,0.19645031,0.009645386,0.016326042,0.022127172,1.0
1110000,0.706294,4.0,60.09367088607595,0.6648577,0.976707,0.9271338348361579,0.9271338348361579,0.23953595410355114,0.0058585587,0.06882368,0.00028905532,0.19635177,0.009635543,0.018793348,0.04154967,1.0
1140000,0.74373806,4.0,79.57948717948717,0.6329629,1.0954509,0.8869336700608002,0.8869336700608002,0.3433869971551365,0.008528705,0.0683227,0.00028874836,0.19624947,0.009625319,0.019151168,0.04294979,1.0
1170000,0.75158817,4.0,82.7817679558011,0.6304194,1.1183581,0.8893052568643708,0.8893052568643708,0.3667278605567451,0.008252547,0.071187235,0.00028844373,0.19614793,0.009615175,0.0210967,0.034796666,1.0
1200000,0.74575126,4.0,75.68840579710145,0.67849064,1.2239522,0.9028519173869147,0.9028519173869147,0.31875124819243167,0.008481477,0.069037996,0.00028814937,0.19604981,0.009605373,0.019270578,0.028475966,1.0
1230000,0.8140678,4.0,62.78176795580111,0.6441107,1.1633033,0.9206336964724472,0.9206336964724472,0.2762645568379628,0.008236781,0.069548905,0.00028785368,0.19595124,0.009595527,0.020031586,0.049306333,1.0
1260000,0.70678526,4.0,90.0,0.6373396,1.113775,0.868499491419924,0.868499491419924,0.36282349626145244,0.009636769,0.07010237,0.00028754803,0.19584933,0.009585347,0.017968664,0.033637237,1.0
1290000,0.5508217,4.0,62.552529182879375,0.7245402,1.195895,0.9226409110523774,0.9226409110523774,0.21015424255360038,0.008892936,0.070205286,0.000287244,0.19574799,0.0095752245,0.015046393,0.018575838,1.0
1320000,0.6489033,4.0,63.847938144329895,0.6581418,1.2065223,0.9257204075577339,0.9257204075577339,0.21031529779331784,0.010067833,0.06841002,0.00028695082,0.19565026,0.009565463,0.015049803,0.024360802,1.0
1350000,0.6833539,4.0,74.88684210526316,0.65220076,1.2299134,0.9015984185567991,0.9015984185567991,0.22470226035675822,0.009380099,0.067433216,0.00028665172,0.19555058,0.009555502,0.013434785,0.028865082,1.0
1380000,0.66529614,4.0,82.9868073878628,0.62975985,1.156449,0.8840402076295489,0.8840402076295489,0.2650365498685965,0.009679332,0.0674955,0.00028634717,0.19544905,0.00954536,0.014634708,0.020879388,1.0
1410000,0.61763114,4.0,69.34811529933481,0.6863728,1.1880324,0.9114061212187523,0.9114061212187523,0.23159313582992527,0.009127571,0.070780955,0.0002860425,0.19534746,0.009535214,0.015876696,0.023522448,1.0
1440000,0.65590245,4.0,59.41834451901566,0.6777608,1.1301317,0.9227013405195266,0.9227013405195266,0.19202201625733165,0.008592748,0.069585904,0.0002857487,0.19524959,0.009525433,0.014311808,0.01311791,1.0
1470000,0.7071107,4.0,76.86861313868613,0.6491842,1.2345304,0.9034369779691789,0.9034369779691789,0.22898594210481774,0.011021144,0.07163601,0.00028545663,0.1951522,0.009515705,0.013992101,0.030805184,1.0
1500000,0.5786602,4.0,63.84756097560975,0.7007475,1.5104572,0.9097979618160705,0.9097979618160705,0.18358010991771773,0.014837529,0.06886336,0.00028515237,0.19505078,0.009505572,0.0129816355,0.02001857,1.0
1530000,0.60910773,4.0,61.663529411764706,0.6779493,1.4805332,0.9242967081741548,0.9242967081741548,0.16695638120769055,0.012979693,0.06526672,0.00028484812,0.19494937,0.009495443,0.0132503975,0.016737405,1.0
1560000,0.7045136,4.0,75.48459383753502,0.6387794,1.3634076,0.9018028094734944,0.9018028094734944,0.23366560414499066,0.01400955,0.07099523,0.00028455342,0.19485113,0.0094856275,0.0136726545,0.017850453,1.0
1590000,0.6991933,4.0,79.984375,0.6661089,1.2318555,0.8797080296956535,0.8797080296956535,0.23848892162537336,0.009470049,0.07269279,0.00028425053,0.19475016,0.009475542,0.014093105,0.030868176,1.0
1620000,0.63789093,4.0,63.88495575221239,0.69921565,1.3259013,0.9317337701191702,0.9317337701191702,0.19661391676027354,0.009503727,0.07115161,0.00028394573,0.19464858,0.009465392,0.015042333,0.028990546,1.0
1650000,0.6205337,4.0,56.271153846153844,0.7377246,1.4022406,0.9303961568681841,0.9303961568681841,0.159508904252709,0.0103201615,0.06976983,0.00028365353,0.19455115,0.00945566,0.011780024,0.01942086,1.0
1680000,0.73418915,4.0,57.56926406926407,0.6940406,1.4190936,0.9329942548380256,0.9329942548380256,0.16137757719747278,0.010468034,0.07059456,0.00028334899,0.19444965,0.00944552,0.013078255,0.03685774,1.0
1710000,0.681547,4.0,71.14553014553015,0.70782965,1.4502494,0.9062404862027958,0.9062404862027958,0.19751639422200665,0.011337964,0.069782235,0.0002830449,0.1943483,0.009435394,0.013093124,0.026673714,1.0
1740000,0.6814102,4.0,52.03585657370518,0.71420646,1.5206139,0.9388466071916292,0.9388466071916292,0.16381553084815878,0.011277095,0.07444055,0.00028275326,0.19425109,0.009425682,0.014855942,0.043859668,1.0
1770000,0.6246924,4.0,55.91151919866444,0.75633174,1.500639,0.9243912122564742,0.9243912122564742,0.19001159764121514,0.007728545,0.06815701,0.0002824487,0.19414952,0.009415539,0.014754493,0.042013627,1.0
1800000,0.6570311,4.0,48.88697318007663,0.74404067,1.4927845,0.9406777106296449,0.9406777106296449,0.16058154534725916,0.7188654,0.073406674,0.00028214123,0.19404708,0.009405305,0.031011997,0.07425769,1.0
1830000,0.66994435,4.0,62.15959595959596,0.7438654,1.6730878,0.9179967869080619,0.9179967869080619,0.2248980334114455,0.41990063,0.07085673,0.0002818456,0.19394852,0.009395458,0.020371394,0.035204798,1.0
1860000,0.70584196,4.0,57.25691699604743,0.7182656,1.8121015,0.9269233135720015,0.9269233135720015,1.055612997023072,0.035666928,0.07037824,0.00028155308,0.19385102,0.009385717,0.014156686,0.04382896,1.0
1890000,0.74838006,4.0,59.7558886509636,0.6677311,1.8873144,0.921084609742348,0.921084609742348,0.19426948913078532,0.021918815,0.0723022,0.0002812516,0.19375052,0.0093756765,0.015677653,0.04775737,1.0
1920000,0.75951284,4.0,65.0,0.6639921,1.6541939,0.9101175626588834,0.9101175626588834,0.22017462958523012,0.023107957,0.07137067,0.0002809482,0.19364943,0.009365575,0.016303176,0.04470188,1.0
