Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
330000,1.337224,2.0,0.29848927,2.5874648,0.036351923,0.42234787,0.0002905239,0.19684131,0.009684445,0.10085036,0.15895979,331.5824175824176,0.790018878918555,0.790018878918555,6.8961856092015905,1.0
360000,1.2957591,2.0,0.24931848,2.0720809,0.008428139,0.4461456,0.00028960282,0.19653426,0.009653775,0.071960665,0.16438615,334.7551020408163,0.7750063737101377,0.7750063737101377,5.605656847833319,1.0
390000,1.2093778,2.0,0.4259381,1.7325668,0.010833257,0.43043038,0.00028874408,0.19624804,0.009625177,0.06889777,0.19171675,206.25165562913907,0.8893519672320077,0.8893519672320077,2.752871038196118,1.0
420000,1.2538818,2.0,0.4861379,1.8515737,0.0107761985,0.45554906,0.0002878506,0.19595018,0.009595425,0.073582925,0.11139292,139.0,0.9264331645894759,0.9264331645894759,2.2754864003509283,1.0
450000,1.1999388,2.0,0.48166868,1.8902448,0.04806364,0.45113558,0.0002869501,0.19565003,0.009565438,0.06646823,0.1624055,158.24886877828055,0.9158537011524593,0.9158537011524593,2.3656306708990424,1.0
480000,1.1733184,2.0,0.57361317,1.9323514,0.011830745,0.45339456,0.00028606394,0.19535464,0.009535928,0.06461227,0.1378827,115.87083333333334,0.9417222218871607,0.9417222218871607,1.4727310500579116,1.0
510000,1.1304783,3.0,0.6261395,1.7312376,0.008987917,0.46522164,0.00028521207,0.19507068,0.009507561,0.05311743,0.12395868,86.0431654676259,0.9575499968603254,0.9575499968603254,1.0231325037411547,1.0
540000,1.2303077,3.0,0.44630057,1.3512244,0.006284178,0.4407964,0.00028425676,0.19475228,0.009475749,0.056835376,0.21189798,212.33098591549296,0.886184779279258,0.886184779279258,2.493589027268488,1.0
570000,1.2125657,3.0,0.47240818,1.3529631,0.0073211496,0.44497666,0.00028336578,0.19445525,0.00944608,0.050118294,0.15013969,165.6010101010101,0.8924081183705234,0.8924081183705234,1.6998892896785047,1.0
600000,1.138546,3.0,0.54156065,1.4336288,0.00885948,0.46082598,0.00028245244,0.1941508,0.009415666,0.050792765,0.105432644,107.18505338078292,0.9451541191627902,0.9451541191627902,1.1664699811394923,1.0
630000,1.0889374,3.0,0.55679125,1.534921,0.009111534,0.47439158,0.00028153186,0.19384395,0.009385011,0.049439028,0.1455621,105.26315789473684,0.9364143308748801,0.9364143308748801,1.0221421981571863,1.0
660000,1.0718541,4.0,0.5633947,1.6769216,0.009819902,0.5075888,0.00028065188,0.19355062,0.009355706,0.0471744,0.113775246,85.228125,0.9591484386939555,0.9591484386939555,0.8082467030733824,1.0
690000,1.2200577,4.0,0.38087773,1.4302437,0.008568478,0.45938733,0.00027976595,0.1932553,0.009326205,0.0499075,0.17983647,169.2214765100671,0.8966412877363543,0.8966412877363543,1.6666938232077706,1.0
720000,1.1739832,4.0,0.4795373,1.4317251,0.009148158,0.49059612,0.00027886673,0.19295557,0.009296261,0.043752454,0.14202589,116.05118110236221,0.93065175048804,0.93065175048804,1.0802452930300008,1.0
750000,1.1661854,4.0,0.4559143,1.2739011,0.0073774317,0.4956566,0.0002779443,0.19264808,0.009265543,0.045138985,0.123935595,143.2127659574468,0.9147770897308898,0.9147770897308898,1.314881950879412,1.0
780000,1.0939353,4.0,0.5386936,1.2547127,0.0061713234,0.5486592,0.00027703732,0.19234577,0.009235341,0.039807815,0.124819264,100.4041095890411,0.9394886647288998,0.9394886647288998,0.8321325044582287,1.0
810000,1.0615888,4.0,0.57723564,1.1155272,0.0045738555,0.5488229,0.00027613994,0.19204664,0.00920546,0.04042017,0.10728756,91.52121212121212,0.9517246946329023,0.9517246946329023,0.7561530270968655,1.0
840000,1.0397499,5.0,0.5351063,0.97778535,0.0056425803,0.5408277,0.00027525282,0.19175094,0.009175919,0.039802387,0.10734147,81.3782894736842,0.9575656539813838,0.9575656539813838,0.657110685524954,1.0
