Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
330000,0.8056076,342.54945054945057,0.21751232,0.7566883,0.5035076780797361,0.5035076780797361,2.7574066068301653,0.098585024,0.07360821,0.0002905438,0.19684793,0.009685108,0.037950587,0.051790636,1.0
360000,0.89023674,487.75,0.15639146,0.6423262,0.3254033622600265,0.3254033622600265,3.8153870405502994,0.0054108007,0.07096443,0.00028964088,0.19654694,0.009655041,0.02480737,0.040541947,1.0
390000,0.9418302,441.6617647058824,0.14215252,0.6325932,0.38389562729044235,0.38389562729044235,2.443054377243085,0.0061570373,0.06778549,0.0002887402,0.19624674,0.009625048,0.028241094,0.03146876,1.0
420000,0.9188306,378.4264705882353,0.16193633,0.7117722,0.5185735108440414,0.5185735108440414,2.1102629476500785,0.006613869,0.070558034,0.00028783435,0.19594477,0.009594883,0.028000241,0.029495908,1.0
450000,0.8410935,418.2162162162162,0.16941847,0.8637887,0.37714720517396927,0.37714720517396927,2.473252149324657,0.01862724,0.07123436,0.00028692692,0.1956423,0.009564665,0.032727953,0.04147436,1.0
480000,0.9349506,480.14285714285717,0.14286238,1.0465153,0.2250184356020047,0.2250184356020047,3.048441905793376,0.1808679,0.070015445,0.0002860243,0.19534144,0.0095346095,0.031806443,0.037545823,1.0
510000,0.8607057,454.6119402985075,0.14493112,0.9548338,0.35121512514623726,0.35121512514623726,5.575493046985657,0.266239,0.069212675,0.00028512202,0.19504066,0.009504561,0.035556443,0.0387434,1.0
540000,0.8596914,524.1739130434783,0.094970144,0.8512142,0.15388082395842734,0.15388082395842734,3.355906593474619,0.012429739,0.06652055,0.00028425132,0.19475041,0.009475567,0.032289878,0.039469853,1.0
570000,0.7752516,583.5555555555555,0.11769192,0.8371259,0.08293965624438392,0.08293965624438392,3.988464593458625,0.01970604,0.067930065,0.0002833768,0.19445893,0.009446447,0.031733245,0.051847253,1.0
600000,0.88464075,402.28985507246375,0.1782476,0.71627706,0.3870705660870847,0.3870705660870847,2.487310329671292,0.0057143094,0.07302887,0.00028248018,0.19416006,0.009416589,0.029210346,0.045338135,1.0
