Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
330000,1.1198375,1.0,0.6544295,3.4158258,77.832,0.012102496,0.45569822,0.00029053568,0.19684523,0.009684838,0.101104945,0.13061032,0.960539680881002,0.960539680881002,1.6318649890482742,1.0
360000,1.0998225,2.0,0.45960242,2.309943,165.27777777777777,0.0072496,0.42423064,0.00028966888,0.19655631,0.009655974,0.07196747,0.2856404,0.9516249994215157,0.9516249994215157,1.5627118813073528,1.0
390000,1.3154148,2.0,0.14415689,1.72423,551.3142857142857,0.012187281,0.38889444,0.00028873963,0.19624655,0.009625028,0.08086018,0.23358281,0.5286805784857985,0.5286805784857985,8.93712696255143,1.0
420000,1.3002583,2.0,0.4289097,1.9801714,158.125,0.009591924,0.4278589,0.0002878718,0.19595724,0.009596131,0.07400263,0.13929527,0.8845788758733998,0.8845788758733998,2.7567180376615585,1.0
450000,1.284687,2.0,0.4319598,1.8223592,205.1387283236994,0.009594055,0.4137756,0.00028695966,0.19565322,0.009565757,0.07232901,0.108173296,0.8800283177739623,0.8800283177739623,2.8601867225602526,1.0
480000,1.2503026,2.0,0.46766597,1.6850638,141.10502283105023,0.007941156,0.4220252,0.00028604458,0.19534819,0.009535283,0.06815743,0.12834668,0.9174824362484421,0.9174824362484421,1.9438568149761455,1.0
510000,1.1925918,2.0,0.49118882,1.802492,138.4056603773585,0.008474659,0.4636123,0.00028514,0.19504666,0.00950516,0.0663988,0.10741872,0.9231300436862381,0.9231300436862381,1.8160684765755062,1.0
540000,1.121072,2.0,0.5123677,1.566069,118.97328244274809,0.008244837,0.4183476,0.00028424285,0.19474763,0.009475287,0.054419033,0.13283396,0.9330796868016478,0.9330796868016478,1.3645935735257808,1.0
570000,1.075141,3.0,0.64254045,1.3835295,76.45029239766082,0.005539447,0.44084707,0.00028335492,0.19445165,0.0094457185,0.060270324,0.074364886,0.9610558821874506,0.9610558821874506,0.9372801945270861,1.0
600000,1.1458013,3.0,0.5165795,1.5040902,128.03267973856208,0.0050984756,0.47267795,0.0002824693,0.19415644,0.009416228,0.0647667,0.14967358,0.9387320754288128,0.9387320754288128,1.4815478025461144,1.0
630000,1.1563921,3.0,0.38561717,1.761347,251.35555555555555,2.156781,0.43215302,0.00028156684,0.19385563,0.009386174,0.2882233,0.2229927,0.8054970329006513,0.8054970329006513,9.235579409560671,1.0
660000,1.1659384,3.0,0.4344726,1.5939965,198.55421686746988,0.00677562,0.37942263,0.0002806688,0.19355628,0.009356271,0.057201985,0.13592485,0.8607199954264092,0.8607199954264092,2.4850080187573576,1.0
690000,1.1707457,3.0,0.4531181,1.374591,162.6153846153846,0.006171019,0.4153583,0.00027975184,0.19325058,0.009325734,0.055060934,0.09663362,0.9061103425491815,0.9061103425491815,1.9760048491933822,1.0
720000,1.0684321,3.0,0.4881634,1.2765019,111.43145161290323,0.0052040163,0.45675322,0.00027887383,0.19295794,0.009296496,0.04936697,0.09867248,0.9318442589710237,0.9318442589710237,1.1266517939320841,1.0
