Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
330000,1.2217062,2.0,148.1595744680851,0.38741925,1.8171037,0.91467219029359,0.91467219029359,2.3028010998498947,0.0082316855,0.51888484,0.000290589,0.19686298,0.009686613,0.072934225,0.1380543,1.0
360000,1.0094017,2.0,85.84050632911392,0.5561481,1.792563,0.9548320692277166,0.9548320692277166,1.151274523838903,0.008832984,0.52178395,0.0002896625,0.19655417,0.009655761,0.0697299,0.082648285,1.0
390000,1.0801058,3.0,85.7595818815331,0.57513887,1.6020415,0.9601606492639019,0.9601606492639019,1.0436994187157291,0.0055894675,0.52181965,0.00028879114,0.19626372,0.009626743,0.06658128,0.08882496,1.0
420000,1.127229,3.0,150.40284360189574,0.503913,1.6711515,0.9053388106122137,0.9053388106122137,2.1617982653373655,0.00949969,0.5007844,0.0002878246,0.19594151,0.009594559,0.063724644,0.14042614,1.0
450000,1.26708,3.0,283.43518518518516,0.31239817,2.3586664,0.8005450923068851,0.8005450923068851,20.490832703662853,4.2775273,0.42715773,0.0002869308,0.19564359,0.009564795,2.5294526,0.5343855,1.0
480000,1.2154127,3.0,132.9659090909091,0.35835493,2.3282769,0.907744864313989,0.907744864313989,1.921569401307686,0.036738332,0.4062261,0.00028602933,0.19534309,0.009534775,0.059672084,0.1698635,1.0
510000,1.194321,3.0,169.4816513761468,0.37126178,2.1733372,0.8912756998335647,0.8912756998335647,1.7446358734828846,0.045050792,0.41109613,0.00028514228,0.19504742,0.009505236,0.04967738,0.1646662,1.0
540000,1.1674418,3.0,101.87837837837837,0.55341804,2.1903417,0.9455982625950128,0.9455982625950128,0.9766766960997807,0.028805785,0.43698898,0.00028423016,0.19474338,0.009474863,0.047075927,0.11069299,1.0
570000,1.1068014,4.0,77.35511363636364,0.5887948,2.0061038,0.9583150834968969,0.9583150834968969,0.7099192807939965,0.024963204,0.46537143,0.00028332407,0.19444135,0.009444691,0.043109037,0.0841672,1.0
600000,1.1604418,4.0,98.28731343283582,0.51294106,1.9289418,0.9464762261453664,0.9464762261453664,0.8683065172917438,0.021840142,0.45060855,0.000282476,0.19415869,0.009416449,0.04187092,0.0832947,1.0
630000,1.0632774,5.0,77.2961956521739,0.5913362,2.017902,0.9560801609351871,0.9560801609351871,0.6357947282003733,0.025408747,0.44877958,0.00028155188,0.19385064,0.009385677,0.0396189,0.07067208,1.0
660000,1.1133008,5.0,117.74273858921161,0.5099677,1.6417382,0.9412654308686531,0.9412654308686531,0.9395731216058932,0.012656546,0.42967778,0.00028066026,0.1935534,0.009355986,0.039457705,0.09178549,1.0
690000,1.0467519,6.0,74.74570446735395,0.5385683,1.6069189,0.9623938363096486,0.9623938363096486,0.5279087243627195,0.015825637,0.42938575,0.00027978123,0.1932604,0.009326714,0.03515982,0.077772595,1.0
720000,1.0500323,7.0,108.4695340501792,0.5823575,1.7316068,0.9397518109746169,0.9397518109746169,1.3447075752487434,0.12039782,0.41837782,0.00027884438,0.19294812,0.009295516,0.07170086,0.15967444,1.0
750000,1.2121476,7.0,373.36764705882354,0.3701519,2.339534,0.814784712675545,0.814784712675545,6.740520969330747,0.032518603,0.41839665,0.00027795185,0.19265059,0.009265796,0.072237805,0.27001598,1.0
780000,1.2556804,7.0,727.5714285714286,0.172981,1.5283267,0.3467084919201567,0.3467084919201567,9.961126347964115,0.015392371,0.3967034,0.00027704838,0.1923495,0.009235712,0.069052964,0.19018361,1.0
810000,1.2134221,7.0,524.9318181818181,0.13127455,1.5206615,0.6799599814746115,0.6799599814746115,7.314741886158784,0.011726171,0.41080078,0.00027615138,0.19205046,0.009205841,0.057959218,0.17941771,1.0
840000,1.2019453,7.0,580.24,0.19374833,1.3806458,0.5597419862449169,0.5597419862449169,5.944963186234236,0.008077458,0.38708824,0.00027523495,0.19174495,0.009175322,0.056260627,0.2033305,1.0
870000,1.1994895,7.0,516.6086956521739,0.26606324,1.3742652,0.6312999858156495,0.6312999858156495,6.707761886246178,1.2157482,0.37869632,0.00027433276,0.19144425,0.009145277,0.120647505,0.22246228,1.0
900000,1.2428844,7.0,396.82278481012656,0.24928328,1.6033368,0.7373113868923127,0.7373113868923127,15.358758898522657,0.9606267,0.39560446,0.0002734423,0.19114745,0.009115627,0.13663675,0.19706824,1.0
930000,1.2374699,7.0,434.64,0.2513355,1.1167246,0.68138782518941,0.68138782518941,3.9205925652404896,0.005844165,0.385405,0.0002725437,0.1908479,0.009085705,0.041418876,0.13585094,1.0
960000,1.1679549,7.0,285.1818181818182,0.3365347,1.6405859,0.8281712787281169,0.8281712787281169,13.68637495420154,2.7031763,0.41637227,0.00027166813,0.19055605,0.009056547,0.16952391,0.16609557,1.0
990000,1.2494142,7.0,395.10526315789474,0.2830046,1.1642958,0.7444722108128998,0.7444722108128998,3.24959692850502,0.0060328045,0.39833805,0.00027075867,0.19025286,0.009026261,0.039132033,0.171518,1.0
1020000,1.2401006,7.0,283.0520833333333,0.23168981,0.950458,0.8103499908988573,0.8103499908988573,2.088736817411774,0.0064950776,0.3862435,0.00026984335,0.18994777,0.008995782,0.035361983,0.1329542,1.0
1050000,1.2205529,7.0,341.6842105263158,0.27819157,1.1179752,0.8085697832672546,0.8085697832672546,2.657851785343761,0.009409012,0.40355322,0.00026894285,0.18964761,0.008965796,0.04556827,0.14362513,1.0
1080000,1.2120469,7.0,312.7448979591837,0.33028415,1.1094078,0.7606231462014349,0.7606231462014349,2.648492883435009,0.006692507,0.40264228,0.00026806357,0.18935452,0.008936516,0.042389847,0.123124324,1.0
1110000,1.0659537,7.0,154.27272727272728,0.51656646,1.3188746,0.905034992347161,0.905034992347161,1.3833880355659252,0.007653175,0.42615277,0.0002671786,0.18905954,0.008907047,0.03827421,0.083109446,1.0
1140000,1.1542919,7.0,379.14864864864865,0.31515446,1.4479729,0.7371013989331017,0.7371013989331017,3.772777928957637,0.048251595,0.4112987,0.00026625468,0.18875153,0.00887628,0.06125583,0.14077073,1.0
