Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
1950000,1.4518893,-0.020389946,1.3853222,1.1337769,0.071919516,0.00024193924,0.1806464,0.008066575,0.14568949,0.36249197,None,-0.838899812893942,-0.838899812893942,75.84948744624853,1.0
1980000,1.3253828,-0.008827328,0.8287611,0.0037819003,0.06748627,0.00024106372,0.18035457,0.008037421,0.046271678,0.06260289,None,None,None,None,1.0
2010000,1.5120924,-0.01877633,1.424197,0.002711498,0.07214348,0.00024014211,0.18004736,0.008006732,0.073637135,0.17430094,None,None,None,None,1.0
2040000,1.2552606,-0.015144147,1.1676782,0.001019427,0.06968726,0.00023922049,0.17974016,0.007976042,0.055663012,0.088127576,9999.0,-0.7407543522898447,-0.7407543522898447,160.60989331115377,1.0
2070000,1.6231548,-0.01451372,0.89173067,0.0027185725,0.07263315,0.00023833924,0.1794464,0.007946695,0.06595664,0.12899579,None,-0.7709997917991132,-0.7709997917991132,126.71300683170557,1.0
2100000,1.5938727,-0.008851921,0.79717034,0.0007374321,0.069523096,0.00023746374,0.17915456,0.00791754,0.053733867,0.12928405,None,None,None,None,1.0
2130000,1.810732,-0.01998364,2.2833014,0.00856893,0.07092954,0.00023654212,0.17884734,0.007886851,0.067857146,0.21233395,None,None,None,None,1.0
2160000,1.80187,-0.015548828,1.40782,0.003955379,0.068142086,0.0002356205,0.17854016,0.007856161,0.024438549,0.32702592,9999.0,-0.7434452853631228,-0.7434452853631228,57.574992540207774,1.0
2190000,1.5753042,0.008611318,0.9347508,2.6053388,0.07077385,0.00023473923,0.1782464,0.007826815,0.10650655,0.30859086,None,-0.7548998268321157,-0.7548998268321157,54.7446405403316,1.0
2220000,1.3481829,-0.0060649347,0.83020794,0.0014329047,0.06992915,0.00023386374,0.17795455,0.007797661,0.049087115,0.11568149,None,None,None,None,1.0
2250000,1.6085336,-0.0052920543,0.818353,0.0010363015,0.0699908,0.00023294213,0.17764735,0.007766972,0.03724421,0.0853589,None,None,None,None,1.0
2280000,1.569909,0.00067249767,1.0669547,0.001161968,0.06646857,0.00023202051,0.17734015,0.007736282,0.039852776,0.0750335,9999.0,-0.766090737814507,-0.766090737814507,170.61562042039904,1.0
2310000,1.2720379,-0.013937806,1.3348571,0.018830696,0.06845783,0.00023113923,0.1770464,0.007706936,0.06062368,0.10245636,None,-0.6919998199446127,-0.6919998199446127,196.80329750478268,1.0
2340000,1.2496667,-0.024257988,1.0213197,0.0009604863,0.06811333,0.00023026373,0.17675456,0.007677781,0.036783945,0.05546189,None,None,None,None,1.0
2370000,1.0512848,-0.009487867,0.5878502,0.0007208503,0.070078164,0.00022934214,0.17644736,0.007647092,0.04037346,0.0446545,None,None,None,None,1.0
2400000,1.203366,-0.0011672508,0.86617416,0.0007303719,0.067301705,0.00022842051,0.17614016,0.0076164017,0.047344007,0.055725466,9999.0,-0.7041452603139491,-0.7041452603139491,54.17975878105922,1.0
2430000,1.4203136,-0.008855324,0.9108915,0.8281401,0.0745866,0.00022753923,0.1758464,0.007587055,0.08839013,0.12130397,None,-0.6517997869523242,-0.6517997869523242,55.13655871152878,1.0
2460000,1.5895624,-0.001251613,0.73047036,0.00051925774,0.071469024,0.00022666373,0.17555454,0.007557901,0.041787393,0.0704206,None,None,None,None,1.0
2490000,1.6886041,-0.004953719,0.5736208,0.00026095734,0.069666155,0.00022574214,0.17524736,0.007527211,0.03388333,0.057412755,None,None,None,None,1.0
2520000,1.7615552,-0.010111553,0.40231487,0.0020667484,0.07364631,0.00022482053,0.17494014,0.0074965223,0.03554576,0.06570061,9999.0,-0.7517179920951921,-0.7517179920951921,116.02297845923088,1.0
