Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
450000,0.9843018,0.014791327,2.8086145,0.24825509,0.07224855,0.00028694206,0.19564736,0.009565172,0.27587008,0.95272475,None,None,None,None,1.0
480000,1.1748544,0.013240986,2.8227975,0.070495665,0.06968484,0.00028602048,0.19534016,0.009534481,0.17360346,5.771956,9999.0,0.04772727379829369,0.04772727379829369,270.44465387138456,1.0
510000,1.1087792,0.03349108,3.2596688,0.5714139,0.07244904,0.0002851392,0.19504641,0.009505134,0.17646429,2.4187284,None,0.07500000228174031,0.07500000228174031,214.72968965768814,1.0
540000,1.1562895,-0.015396773,2.1462114,0.05963873,0.06991759,0.0002842637,0.19475457,0.009475979,0.16204235,1.8514235,None,None,None,None,1.0
570000,1.061205,-0.026314601,1.517323,0.0034641598,0.068894744,0.00028334212,0.19444735,0.009445292,0.06938588,0.11215603,None,None,None,None,1.0
600000,1.0098989,0.0033501557,2.0539284,0.21200362,0.074180126,0.0002824205,0.19414017,0.009414601,0.16228965,0.31216812,9999.0,0.03763636445033957,0.03763636445033957,230.8277689272707,1.0
630000,0.96477646,0.008852589,1.89258,0.4667436,0.06969554,0.0002815392,0.1938464,0.009385254,0.21967572,0.23717205,None,0.04600000148639083,0.04600000148639083,242.89054402709007,1.0
660000,1.1354525,0.0052086716,1.6493064,0.016972687,0.068936214,0.0002806637,0.19355457,0.009356101,0.16428316,2.3717575,None,None,None,None,1.0
690000,0.81040174,0.01152056,2.2917457,0.028135544,0.07227919,0.0002797421,0.19324735,0.009325411,0.20940876,1.8297386,None,None,None,None,1.0
720000,1.014417,-0.0008011362,2.2084565,0.04967944,0.07160632,0.0002788205,0.19294015,0.009294721,0.21044293,2.048408,9999.0,0.0428181828782809,0.0428181828782809,252.25688830898568,1.0
