Steps,Policy/Entropy,Environment/Lesson/PathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
780000,0.722002,3.0,0.59829634,1.9827008,0.015304299,0.06805616,9.7450844e-05,0.19745085,0.00974534,0.06611739,0.03761733,90.54945054945055,0.8654725238844588,0.8654725238844588,1.237723511065469,1.0
810000,0.67138594,3.0,0.6211152,1.6316006,0.011516189,0.06974889,9.735239e-05,0.19735238,0.009735504,0.06213252,0.030401325,71.07125890736341,0.9004118762503327,0.9004118762503327,0.9000461497841814,1.0
840000,0.70397025,3.0,0.58567584,1.3401268,0.009766235,0.069453344,9.725037e-05,0.19725038,0.009725313,0.059294794,0.03227449,67.51295336787565,0.9038192185875658,0.9038192185875658,0.8852812028066679,1.0
870000,0.7143885,3.0,0.57836115,1.0700352,0.009142785,0.06719528,9.7148055e-05,0.19714805,0.0097150905,0.057049125,0.031051576,84.93506493506493,0.873715541291731,0.873715541291731,1.0148776622653162,1.0
900000,0.6322111,3.0,0.64418817,0.9165534,0.0109483795,0.06555312,9.7050055e-05,0.19705006,0.009705302,0.05875207,0.030393016,75.0559284116331,0.9003212515273084,0.9003212515273084,0.86898212381524,1.0
930000,0.6373151,3.0,0.59779197,0.8729551,0.010916698,0.06945501,9.6951735e-05,0.19695175,0.009695478,0.054345995,0.025415616,68.2967032967033,0.9232441969421687,0.9232441969421687,0.8058119728461485,1.0
960000,0.6103945,3.0,0.61146903,0.96726453,0.00979627,0.06623048,9.685249e-05,0.19685246,0.009685562,0.052601617,0.023748878,83.09452736318408,0.8894193986829241,0.8894193986829241,0.8955025980202713,1.0
990000,0.6544578,3.0,0.60568947,0.9892474,0.00789042,0.068374835,9.675044e-05,0.19675043,0.009675369,0.049291886,0.02064696,68.24242424242425,0.9124110477940482,0.9124110477940482,0.7640093267787227,1.0
1020000,0.71731275,3.0,0.59064114,0.81293595,0.0077961534,0.0672814,9.6648255e-05,0.19664825,0.009665161,0.045436222,0.02228372,78.52094240837697,0.8932394782831142,0.8932394782831142,0.7799696663757423,1.0
1050000,0.69154346,3.0,0.61689967,0.65876734,0.007962223,0.06875753,9.655013e-05,0.19655012,0.009655356,0.04296732,0.017681023,79.4875,0.8853072651608247,0.8853072651608247,0.702122084142869,1.0
1080000,0.6138406,3.0,0.6793964,0.54521805,0.0069580534,0.072662406,9.645143e-05,0.19645143,0.009645498,0.038802143,0.015323296,63.224032586558046,0.9163959252433719,0.9163959252433719,0.5169642695250434,1.0
1110000,0.6493775,3.0,0.6539744,0.57191694,0.00608883,0.06936697,9.6349715e-05,0.19634971,0.009635336,0.039240606,0.020070504,63.74401913875598,0.9147196153989819,0.9147196153989819,0.5293021669352882,1.0
1140000,0.68213326,3.0,0.6457675,0.6252658,0.006715744,0.06942583,9.624808e-05,0.1962481,0.009625183,0.03644865,0.018632991,73.14476614699332,0.9002457748519049,0.9002457748519049,0.5845562274588479,1.0
1170000,0.65809476,3.0,0.70185983,0.5932983,0.005492584,0.07108508,9.615009e-05,0.1961501,0.009615393,0.03462367,0.015938064,55.44959677419355,0.9303474727604124,0.9303474727604124,0.3921313576894163,1.0
1200000,0.66374505,3.0,0.6667769,0.57675606,0.006122507,0.07131367,9.605219e-05,0.19605218,0.0096056145,0.036169652,0.018610401,64.33123689727464,0.9126465388064114,0.9126465388064114,0.4818220717570817,1.0
1230000,0.6344493,3.0,0.6780488,0.55613303,0.0061611123,0.070866525,9.595323e-05,0.19595324,0.009595728,0.03450029,0.01524583,57.614736842105266,0.9296332616868772,0.9296332616868772,0.40685020427954827,1.0
1260000,0.68430376,3.0,0.619432,0.54673046,0.005770342,0.06862641,9.584973e-05,0.19584973,0.009585389,0.033209674,0.0169115,67.17369727047146,0.9024125583582188,0.9024125583582188,0.49205433269354265,1.0
1290000,0.67362905,3.0,0.5905413,0.5814727,0.0066860826,0.06716374,9.574725e-05,0.19574724,0.009575149,0.032152195,0.013922858,88.1454081632653,0.8724696940620138,0.8724696940620138,0.5944923704602953,1.0
1320000,0.54936016,3.0,0.7170261,0.58854765,0.005526054,0.07098542,9.5649375e-05,0.19564939,0.009565374,0.030886885,0.011870734,60.652416356877325,0.924201478947092,0.924201478947092,0.3927420282874394,1.0
1350000,0.5904967,3.0,0.6688829,0.5751948,0.0053766486,0.070352376,9.555057e-05,0.19555058,0.009555501,0.029519994,0.01714896,55.658482142857146,0.9309397280449048,0.9309397280449048,0.3505244436341205,1.0
1380000,0.6597441,3.0,0.62438905,0.55776215,0.005650953,0.06958844,9.545173e-05,0.19545172,0.009545627,0.02703144,0.014291105,74.8984375,0.9040605717827384,0.9040605717827384,0.43640036875134036,1.0
1410000,0.5414497,3.0,0.7274681,0.5799821,0.0049350904,0.06732981,9.5350624e-05,0.19535062,0.009535527,0.025111446,0.007038965,59.32508833922262,0.9247741569987441,0.9247741569987441,0.3101384211966224,1.0
1440000,0.5577585,3.0,0.6745626,0.55804545,0.0050172103,0.069641575,9.524956e-05,0.19524957,0.009525431,0.024747223,0.005979157,54.35281385281385,0.9326280750672195,0.9326280750672195,0.2782421481069459,1.0
1470000,0.5635787,3.0,0.6901555,0.5225326,0.0049288566,0.06732839,9.5151096e-05,0.19515109,0.009515594,0.023062898,0.005932326,67.6079295154185,0.9147572647369906,0.9147572647369906,0.34333113809875193,1.0
1500000,0.55144835,3.0,0.69222265,0.46908796,0.0051128054,0.069444165,9.5049574e-05,0.19504957,0.0095054535,0.022866173,0.0056485212,64.73151750972762,0.9198051039971162,0.9198051039971162,0.302229758202005,1.0
1530000,0.53784317,3.0,0.7265162,0.4521381,0.004247402,0.06706416,9.494737e-05,0.19494735,0.0094952425,0.022130597,0.00676776,52.511754068716094,0.9363881707405104,0.9363881707405104,0.24955672125822753,1.0
1560000,0.5441332,3.0,0.72541535,0.4071053,0.0043473993,0.07059628,9.484891e-05,0.19484891,0.009485407,0.02179958,0.007888519,50.87689393939394,0.9396435569012256,0.9396435569012256,0.2339949493127113,1.0
1590000,0.6448108,3.0,0.68822783,0.40702435,0.005190035,0.0682938,9.475114e-05,0.19475114,0.009475639,0.022675183,0.01238405,56.33261339092873,0.926383581744672,0.926383581744672,0.27668177470822314,1.0
1620000,0.64309436,3.0,0.63704985,0.39158422,0.0065213717,0.07042342,9.464995e-05,0.19464993,0.00946553,0.0247717,0.013028757,77.07777777777778,0.8949642488185097,0.8949642488185097,0.3642370958298411,1.0
1650000,0.5245602,3.0,0.72908515,0.32016715,0.005176377,0.06886456,9.454804e-05,0.19454804,0.009455348,0.023619171,0.008006537,56.22810218978102,0.9261928155643722,0.9261928155643722,0.2917028708346656,1.0
1680000,0.498257,3.0,0.7292147,0.2807773,0.0048228493,0.0719948,9.444978e-05,0.19444978,0.009445532,0.02241586,0.00626669,49.58480565371025,0.9415097319446833,0.9415097319446833,0.24111751517099617,1.0
1710000,0.5144592,3.0,0.72744274,0.26211447,0.005022533,0.06817338,9.435193e-05,0.19435194,0.009435758,0.022541223,0.0066478713,55.62455516014235,0.930049550910472,0.930049550910472,0.26111296341719636,1.0
1740000,0.5197559,3.0,0.72819805,0.21240768,0.0061659487,0.06990505,9.42496e-05,0.1942496,0.009425534,0.02328227,0.009154374,57.224264705882355,0.9316515853471845,0.9316515853471845,0.27618383868275403,1.0
1770000,0.48919153,3.0,0.7356088,0.21353796,0.0051284833,0.07215313,9.414821e-05,0.1941482,0.009415405,0.023140501,0.008035372,45.92714025500911,0.952116991065056,0.952116991065056,0.22853119822538895,1.0
1800000,0.49823517,3.0,0.71812004,0.26278502,0.005236674,0.072050035,9.405094e-05,0.19405092,0.009405687,0.022812331,0.011295272,59.60225140712946,0.9272823918624764,0.9272823918624764,0.2950693061383448,1.0
1830000,0.5689627,3.0,0.7258738,0.34291357,0.005012614,0.07025423,9.394956e-05,0.19394955,0.009395559,0.024281694,0.015577007,53.276752767527675,0.9392728248883087,0.9392728248883087,0.27288009118557305,1.0
1860000,0.51242715,3.0,0.7564797,0.31940657,0.0041646627,0.06826078,9.384815e-05,0.19384815,0.00938543,0.021276196,0.012457552,50.81962025316456,0.9412746799378833,0.9412746799378833,0.22935998649336398,1.0
1890000,0.50401706,3.0,0.741591,0.30257842,0.0043183775,0.07231312,9.37509e-05,0.19375089,0.009375714,0.020268092,0.008724203,43.748226950354606,0.95269361360276,0.95269361360276,0.19524066303757595,1.0
1920000,0.4887958,3.0,0.7374413,0.29169282,0.004506668,0.06897044,9.3649636e-05,0.19364963,0.009365599,0.021312883,0.008381749,53.27670753064798,0.9322521237669684,0.9322521237669684,0.24102145568748395,1.0
1950000,0.41215798,3.0,0.7631654,0.2214367,0.00437393,0.067835264,9.3548035e-05,0.19354804,0.009355448,0.021885926,0.009925848,54.36672051696284,0.9363445473643832,0.9363445473643832,0.2530735883487162,1.0
1980000,0.39354426,4.0,0.79183394,0.22881033,0.0035871298,0.06901822,9.3449504e-05,0.1934495,0.009345605,0.021581693,0.011760089,40.274787535410766,0.9568985828782542,0.9568985828782542,0.1872317375730997,1.0
2010000,0.5381493,4.0,0.70271087,0.3076612,0.0043244543,0.06656021,9.334999e-05,0.19335,0.009335662,0.021469278,0.015388712,40.67741935483871,0.9592081509498568,0.9592081509498568,0.17481465343098143,1.0
2040000,0.6485626,4.0,0.59888065,0.42867672,0.0051837745,0.06506043,9.325065e-05,0.19325067,0.009325741,0.026599374,0.024804475,83.52676056338028,0.8911036580801011,0.8911036580801011,0.4706116414615806,1.0
2070000,0.5932313,4.0,0.6755698,0.39315745,0.005390293,0.07295185,9.315164e-05,0.19315167,0.009315849,0.025470683,0.022059338,72.29792147806005,0.9048004580006279,0.9048004580006279,0.3826944349022125,1.0
2100000,0.67425495,4.0,0.5959963,0.42840216,0.0051709814,0.06652885,9.3050076e-05,0.19305007,0.009305702,0.026066478,0.040513933,71.91641791044776,0.9121607223306177,0.9121607223306177,0.3989830813694216,1.0
