Steps,Policy/Entropy,Environment/Lesson/PathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
420000,0.7262164,3.0,0.68580556,2.0326934,0.0072399764,0.070361376,0.00029756958,0.19918986,0.009919067,0.07061887,0.06715669,67.35860655737704,0.9100924299416611,0.9100924299416611,1.0021700304352006,1.0
450000,0.5544981,3.0,0.7531256,1.8073156,0.005549424,0.068356946,0.00029738777,0.19912924,0.009913011,0.063400425,0.049016956,51.813021702838064,0.9414642112560097,0.9414642112560097,0.7176359483721451,1.0
480000,0.6293369,3.0,0.72397643,1.5814655,0.0050831498,0.07233233,0.0002972128,0.19907093,0.009907186,0.05999258,0.080595054,51.85661080074488,0.9425981390708884,0.9425981390708884,0.6710793471905545,1.0
510000,0.55110735,3.0,0.77318245,1.5439712,0.00402703,0.07008149,0.00029703224,0.19901074,0.009901172,0.052982323,0.04137875,49.702786377708975,0.9471593770176865,0.9471593770176865,0.5680747974115287,1.0
540000,0.5573815,4.0,0.76581204,1.411565,0.0037118194,0.074544005,0.00029685113,0.19895038,0.009895141,0.047804438,0.045690935,43.7296,0.9562703984022141,0.9562703984022141,0.4467258066058159,1.0
570000,0.57152766,5.0,0.75365204,1.3674024,0.004319075,0.07525697,0.00029666975,0.19888991,0.009889101,0.04719168,0.04641765,45.785472972972975,0.954174869761807,0.954174869761807,0.4571291631267917,1.0
600000,0.80572563,5.0,0.7165877,1.2975023,0.0041779857,0.07055744,0.00029648835,0.19882943,0.00988306,0.0455162,0.06752478,39.96043956043956,0.960115719440202,0.960115719440202,0.36734051909704396,1.0
630000,0.9563853,5.0,0.57086706,1.3893365,0.00584712,0.0795443,0.0002963114,0.1987705,0.009877169,0.05206234,0.099812314,107.37919463087249,0.8656483150568585,0.8656483150568585,1.1372924079030953,1.0
660000,0.76699543,5.0,0.65815496,1.4313873,0.29165795,0.068508,0.00029613404,0.19871132,0.009871262,0.057808034,0.087630875,71.74114441416894,0.9066365083897796,0.9066365083897796,0.803817377088221,1.0
690000,0.88108736,5.0,0.5183497,1.280673,0.00606843,0.07051924,0.00029594914,0.19864972,0.009865106,0.05120922,0.084405355,102.8731884057971,0.8569072444207858,0.8569072444207858,1.559939939852642,1.0
720000,0.8397015,5.0,0.5800542,1.1862788,0.0048366147,0.06885777,0.00029576637,0.19858877,0.009859019,0.045307808,0.0872599,94.91884057971015,0.8609206951046824,0.8609206951046824,1.0035818754410257,1.0
750000,0.7659003,5.0,0.6545054,1.1237276,0.00555811,0.07196481,0.00029558883,0.1985296,0.009853108,0.039995395,0.056224372,76.74141876430205,0.8982949731148542,0.8982949731148542,0.6998790366432659,1.0
780000,0.6506554,5.0,0.7163593,0.99226797,0.004656897,0.069614224,0.00029541212,0.19847071,0.009847224,0.038058065,0.04439864,55.40796963946869,0.9370905284233617,0.9370905284233617,0.4352742798033763,1.0
810000,0.82546353,5.0,0.6143865,0.89407,0.0055558826,0.06721557,0.0002952293,0.19840977,0.009841136,0.037973985,0.08506825,69.61097256857856,0.9166989875110713,0.9166989875110713,0.5551590356550113,1.0
840000,0.7976605,5.0,0.688586,0.92570883,0.004392463,0.07235684,0.00029504724,0.19834909,0.009835073,0.037425496,0.06521765,67.72668112798264,0.9159978525193464,0.9159978525193464,0.5587998667947724,1.0
870000,0.9351217,5.0,0.59439105,0.8902239,0.004439238,0.069798686,0.0002948693,0.19828977,0.009829148,0.038352303,0.060930096,59.27220630372493,0.9264902845876557,0.9264902845876557,0.5077408099280937,1.0
900000,0.6835797,5.0,0.70386297,0.8682771,0.004326544,0.06783964,0.00029469034,0.19823012,0.009823188,0.033462454,0.035009243,82.04761904761905,0.8919095568121429,0.8919095568121429,0.6076481584422438,1.0
930000,0.7699939,5.0,0.6452702,0.83701974,0.0049781417,0.06778713,0.00029451394,0.19817133,0.009817314,0.03137124,0.039932795,62.223404255319146,0.9325523776194405,0.9325523776194405,0.417553975537577,1.0
960000,0.7620921,5.0,0.66316086,0.8222861,0.004798321,0.06919982,0.00029433073,0.19811025,0.009811213,0.030044401,0.0458008,78.40939597315436,0.9098984159815123,0.9098984159815123,0.51035609674003,1.0
990000,0.7332708,5.0,0.6890722,0.74880534,0.0040601324,0.06828533,0.00029414843,0.19804947,0.009805142,0.027273225,0.033944137,60.45531914893617,0.9311966067337889,0.9311966067337889,0.3421299738197299,1.0
1020000,0.690472,5.0,0.7347872,0.67998487,0.07416419,0.069659844,0.0002939732,0.19799106,0.009799307,0.02687533,0.03947106,56.42307692307692,0.9416760032041974,0.9416760032041974,0.3074061212464166,1.0
1050000,0.8866384,5.0,0.72212005,0.8022386,1.6519551,0.07095739,0.00029379004,0.19793002,0.009793207,0.12511535,0.15116589,60.363143631436316,0.9341423879377544,0.9341423879377544,0.3708530894541384,1.0
1080000,0.8209568,5.0,0.7822963,0.9221257,0.52017695,0.06964005,0.0002936062,0.19786872,0.009787084,0.15517402,0.2328616,79.05504587155963,0.8959848922368318,0.8959848922368318,2.3006671407756563,1.0
1110000,0.7681996,5.0,0.6725394,0.7431691,0.0054469556,0.07049157,0.0002934286,0.1978095,0.009781172,0.024860855,0.042194508,72.1762114537445,0.916663874055583,0.916663874055583,0.38528301863057235,1.0
1140000,0.78920317,5.0,0.71001464,0.6378511,0.0040505314,0.07027536,0.0002932509,0.1977503,0.009775254,0.024764035,0.05751178,53.836559139784946,0.9418842993115866,0.9418842993115866,0.27493768975298893,1.0
1170000,0.8666725,5.0,0.6540555,0.6494654,0.0043725744,0.070473865,0.0002930696,0.19768985,0.009769217,0.025167186,0.06906404,80.17391304347827,0.9046107813277665,0.9046107813277665,0.40918694744251816,1.0
