Steps,Policy/Entropy,Environment/Lesson/SimplePathFinding,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
750000,0.95810753,4.0,0.60485333,1.4990114,74.03645833333333,0.0068782093,0.53750193,0.0002779376,0.19264586,0.009265321,0.041244686,0.07086899,0.9634407213937068,0.9634407213937068,0.6272021131938055,1.0
780000,1.1005125,4.0,0.4113964,1.2954519,151.40540540540542,0.004808146,0.4659739,0.00027704478,0.19234824,0.00923559,0.04398376,0.06623795,0.9034297988065426,0.9034297988065426,1.360694904102395,1.0
810000,1.0937097,4.0,0.34999195,1.4684985,210.63855421686748,0.01042007,0.43052188,0.00027614695,0.19204897,0.009205693,0.05291385,0.08944791,0.8459668747463803,0.8459668747463803,2.275728476654952,1.0
840000,1.1193296,4.0,0.41919124,1.347806,143.34977578475338,0.0075675687,0.4600883,0.0002752388,0.19174625,0.009175451,0.050255995,0.13631304,0.9207826056558153,0.9207826056558153,1.3728183011848318,1.0
870000,1.1605626,4.0,0.39889133,1.105568,123.9950248756219,0.005367589,0.4647975,0.00027437176,0.19145726,0.00914658,0.044811424,0.0977689,0.923552705332857,0.923552705332857,1.1158183872919951,1.0
900000,1.1106226,4.0,0.45872602,1.0626863,132.20542635658916,0.0046618376,0.5005984,0.00027343608,0.19114536,0.009115421,0.042247213,0.09518474,0.9124028424967111,0.9124028424967111,1.2495377726731747,1.0
930000,0.94995826,4.0,0.55541474,0.9704234,81.37533512064343,0.0038098644,0.57459515,0.00027252448,0.19084151,0.009085065,0.038198855,0.0584469,0.9541224853268692,0.9541224853268692,0.6176665422393295,1.0
960000,0.98478407,5.0,0.6040528,0.9252462,64.01639344262296,0.0031371694,0.5872013,0.00027169473,0.1905649,0.009057433,0.034950353,0.052999567,0.9683689320984395,0.9683689320984395,0.47548547683699616,1.0
990000,1.0332146,5.0,0.48802212,1.077516,128.87142857142857,0.53853315,0.5119655,0.0002707346,0.19024485,0.00902546,0.1316822,0.11247743,0.9171577602463509,0.9171577602463509,1.152607648435052,1.0
1020000,1.1250398,5.0,0.46607122,1.5260013,123.11475409836065,1.398358,0.4501608,0.00026983733,0.18994579,0.008995581,0.18508483,0.13065328,0.9302265296481094,0.9302265296481094,4.954232527205378,1.0
